SampleID,Species,Strain,RNASeq,Prefix
Cerato11750,Ceratobasidium sp,UAMH11750,Cerato379,FS749
Cerato370,Ceratobasidium sp,370,CeratoAll,FRC06
Cerato392,Ceratobasidium sp,392,CeratoAll,FRC07
Cerato394,Ceratobasidium sp,394,Cerato394,FRC08
Cerato395,Ceratobasidium sp,395,Cerato395,FRC09
Cerato414,Ceratobasidium sp,414,CeratoAll,FRC10
Cerato423,Ceratobasidium sp,423,CeratoAll,FRC11
Cerato428,Ceratobasidium sp,428,CeratoAll,FRC12
Serend396,Serendipita sp,396,Serend400,FRC14
Serend397,Serendipita sp,397,Serend400,FRC15
Serend398,Serendipita sp,398,Serend400,FRC16
Serend399,Serendipita sp,399,Serend400,FRC17
Serend400,Serendipita sp,400,Serend400,FRC18
Serend401,Serendipita sp,401,Serend400,FRC19
Serend405,Serendiptia sp,405,Serend400,FRC20
Serend407,Serendipita sp,407,Serend400,FS842
Serend411,Serendipita sp,411,Serend400,FRB91
Tulasn330,Tulasnella sp,330,Tulinq7632,FRB96
Tulasn331,Tulasnella sp,331,Tulinq7632,FRB97
Tulasn332,Tulasnella sp,332,Tulinq7632,FRB98
Tulasn403,Tulasnella sp,403,Tulinq7632,FRB99
Tulasn408,Tulasnella sp,408,Tulinq7632,FRC00
Tulasn417,Tulasnella sp,417,Tulinq7632,FRC01
Tulasn418,Tulasnella sp,418,Tulasn419,FRC02
Tulasn419,Tulasnella sp,419,Tulasn419,FRC03
Tulasn424,Tulasnella sp,424,Tulinq7632,FRC04
Tulasn425,Tulasnella sp,425,Tulinq7632,FRC05
Tulasn427,Tulasnella sp,427,Tulinq7632,FRB90
Tulasn9824,Tulasnella calospora,UAMH9824,Tulinq7632,FS837
Tulinq235,Tulasnella inquilina,235,Tulinq7632,FRB93
Tulinq238,Tulasnella inquilina,238,Tulinq7632,FRB94
Tulinq7632,Tulasnella inquilina,UAMH7632,Tulinq7632,FRB95
